Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-11-27,1.3251,1.3312,1.3235,1.3254,0,0,0
2018-11-28,1.3297,1.3359,1.3292,1.3295,0,0,0
2018-11-29,1.3276,1.3309,1.3254,1.3276,0,0,0
2018-11-30,1.3274,1.3332,1.3273,1.3275,0,0,0
2018-12-03,1.3255,1.3267,1.316,1.3256,0,0,0
2018-12-04,1.3199,1.3212,1.3162,1.3198,0,0,0
2018-12-05,1.3255,1.3395,1.3253,1.3255,0,0,0
2018-12-06,1.3363,1.3442,1.3363,1.336,0,0,0
2018-12-07,1.3391,1.3399,1.3254,1.3394,0,0,0
2018-12-10,1.3329,1.3403,1.3292,1.3327,0,0,0
2018-12-11,1.34,1.3421,1.3378,1.3398,0,0,0
2018-12-12,1.3378,1.3386,1.3324,1.3378,0,0,0
2018-12-13,1.3352,1.338,1.334,1.3346,0,0,0
2018-12-14,1.3351,1.3401,1.3346,1.3347,0,0,0
2018-12-17,1.3386,1.3407,1.3371,1.3388,0,0,0
2018-12-18,1.3412,1.3468,1.3391,1.3412,0,0,0
2018-12-19,1.3454,1.3482,1.3415,1.3457,0,0,0
2018-12-20,1.3475,1.3526,1.3446,1.3475,0,0,0
2018-12-21,1.3499,1.3571,1.3491,1.3498,0,0,0
2018-12-24,1.3597,1.3601,1.3564,1.3595,0,0,0
2018-12-25,1.3608,1.3728,1.3538,1.3608,0,0,0
2018-12-26,1.3585,1.3615,1.3574,1.3586,0,0,0
2018-12-27,1.3574,1.3659,1.3574,1.3573,0,0,0
2018-12-28,1.3621,1.3659,1.3593,1.3619,0,0,0
2018-12-31,1.3626,1.3664,1.3608,1.3622,0,0,0
2019-01-01,1.3394,1.3646,1.3263,1.3394,0,0,0
2019-01-02,1.3625,1.366,1.3569,1.3625,0,0,0
2019-01-03,1.363,1.3644,1.3474,1.3631,0,0,0
2019-01-04,1.3476,1.3491,1.3381,1.3479,0,0,0
2019-01-07,1.3369,1.3376,1.3288,1.3369,0,0,0
2019-01-08,1.3297,1.3319,1.3267,1.3296,0,0,0
2019-01-09,1.3248,1.3254,1.318,1.3247,0,0,0
2019-01-10,1.3213,1.3256,1.3207,1.3211,0,0,0
2019-01-11,1.3236,1.3274,1.3181,1.3239,0,0,0
2019-01-14,1.3267,1.3297,1.3253,1.3267,0,0,0
2019-01-15,1.3276,1.3282,1.3227,1.3276,0,0,0
2019-01-16,1.326,1.3283,1.3235,1.326,0,0,0
2019-01-17,1.3261,1.3318,1.3255,1.3259,0,0,0
2019-01-18,1.3281,1.3282,1.3236,1.328,0,0,0
2019-01-21,1.3275,1.3316,1.3254,1.3275,0,0,0
2019-01-22,1.3297,1.3352,1.3295,1.3295,0,0,0
2019-01-23,1.3356,1.3367,1.3305,1.3356,0,0,0
2019-01-24,1.3338,1.3374,1.3327,1.3341,0,0,0
2019-01-25,1.3352,1.3356,1.3238,1.335,0,0,0
2019-01-28,1.3222,1.3285,1.3202,1.3221,0,0,0
2019-01-29,1.3262,1.3277,1.3244,1.326,0,0,0
2019-01-30,1.3272,1.328,1.3187,1.3271,0,0,0
2019-01-31,1.3143,1.3163,1.312,1.3141,0,0,0
2019-02-01,1.3126,1.3156,1.3084,1.3126,0,0,0
2019-02-04,1.3097,1.3146,1.3083,1.3099,0,0,0
2019-02-05,1.3114,1.3151,1.31,1.3117,0,0,0
2019-02-06,1.3124,1.3207,1.3123,1.3124,0,0,0
2019-02-07,1.3214,1.3296,1.3214,1.3213,0,0,0
2019-02-08,1.3312,1.3328,1.3232,1.3311,0,0,0
2019-02-11,1.3276,1.3317,1.3262,1.3274,0,0,0
2019-02-12,1.3303,1.3314,1.324,1.33,0,0,0
2019-02-13,1.323,1.3254,1.3196,1.3229,0,0,0
2019-02-14,1.326,1.3339,1.3224,1.3259,0,0,0
2019-02-15,1.3298,1.3312,1.3258,1.3297,0,0,0
2019-02-18,1.3241,1.3242,1.3224,1.3239,0,0,0
2019-02-19,1.3235,1.328,1.3234,1.3234,0,0,0
2019-02-20,1.3209,1.3213,1.3149,1.3209,0,0,0
2019-02-21,1.317,1.3205,1.3162,1.317,0,0,0
2019-02-22,1.3229,1.3241,1.3175,1.3225,0,0,0
2019-02-25,1.3132,1.3184,1.3113,1.3131,0,0,0
2019-02-26,1.3183,1.3235,1.3174,1.3185,0,0,0
2019-02-27,1.3162,1.3175,1.3116,1.3162,0,0,0
2019-02-28,1.3148,1.3205,1.3141,1.3145,0,0,0
2019-03-01,1.3165,1.3277,1.3128,1.3164,0,0,0
2019-03-04,1.3284,1.3333,1.3275,1.3284,0,0,0
2019-03-05,1.3312,1.3359,1.331,1.3312,0,0,0
2019-03-06,1.3356,1.3454,1.3352,1.3353,0,0,0
2019-03-07,1.3443,1.3446,1.3414,1.3443,0,0,0
2019-03-08,1.3444,1.3464,1.3393,1.3445,0,0,0
2019-03-11,1.3421,1.3437,1.3395,1.3418,0,0,0
2019-03-12,1.3397,1.3416,1.337,1.3395,0,0,0
2019-03-13,1.3359,1.3368,1.3311,1.3357,0,0,0
2019-03-14,1.3299,1.3347,1.3298,1.3295,0,0,0
2019-03-15,1.3324,1.337,1.3289,1.3325,0,0,0
2019-03-18,1.334,1.3357,1.3303,1.3341,0,0,0
2019-03-19,1.334,1.3343,1.3252,1.3337,0,0,0
2019-03-20,1.3326,1.3346,1.3316,1.3322,0,0,0
2019-03-21,1.3287,1.3377,1.3274,1.3286,0,0,0
2019-03-22,1.337,1.3425,1.3352,1.3365,0,0,0
2019-03-25,1.3423,1.3443,1.34,1.3425,0,0,0
2019-03-26,1.3392,1.3411,1.3372,1.3392,0,0,0
2019-03-27,1.338,1.3435,1.3376,1.3379,0,0,0
2019-03-28,1.3417,1.3438,1.3399,1.3412,0,0,0
2019-03-29,1.343,1.3441,1.3343,1.3431,0,0,0
2019-04-01,1.3348,1.3366,1.3336,1.3347,0,0,0
2019-04-02,1.3313,1.3372,1.3304,1.3311,0,0,0
2019-04-03,1.3348,1.335,1.3295,1.3343,0,0,0
2019-04-04,1.3346,1.3371,1.3339,1.3342,0,0,0
2019-04-05,1.3366,1.3399,1.3347,1.3365,0,0,0
2019-04-08,1.3374,1.3386,1.3315,1.3371,0,0,0
2019-04-09,1.3313,1.3325,1.3284,1.3314,0,0,0
2019-04-10,1.3328,1.3359,1.3317,1.3328,0,0,0
2019-04-11,1.3319,1.3395,1.3315,1.3318,0,0,0
2019-04-12,1.338,1.3384,1.3314,1.3378,0,0,0
2019-04-15,1.3333,1.3388,1.3297,1.3333,0,0,0
2019-04-16,1.337,1.3401,1.3346,1.3368,0,0,0
2019-04-17,1.3359,1.337,1.3275,1.3359,0,0,0
2019-04-18,1.335,1.3396,1.3348,1.3348,0,0,0
2019-04-19,1.3375,1.3391,1.3363,1.3376,0,0,0
